호선명,역명,년월일,요일,구분,합계(전체),05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2호선,정평,202511,전체,승차,132851,2157,4742,12995,19337,12120,8858,8910,8841,8651,7151,6651,6497,7467,7010,3333,2741,2505,2111,774
2호선,정평,202511,전체,하차,124787,160,1130,2040,5099,3690,4287,5194,5852,6494,6929,9254,11625,13861,15776,9826,6813,6603,6198,3956
2호선,임당,202511,전체,승차,100976,1388,2796,9067,11438,7337,6034,5937,6204,6691,5669,6000,6742,8403,8321,3200,2303,1784,1265,397
2호선,임당,202511,전체,하차,95818,23,1847,3606,6793,4523,3444,4605,4855,4841,4870,6439,7147,8849,10618,6824,4741,4827,4332,2634
2호선,영남대,202511,전체,승차,274791,2700,3035,8617,13414,12328,13439,13956,14294,18186,20439,18816,36120,35412,22450,11613,9402,8859,8494,3217
2호선,영남대,202511,전체,하차,255689,42,3128,6250,33300,15369,22602,17144,12445,17481,15383,10797,13086,13152,15452,11219,10520,11581,15613,11125
3호선,칠곡경대병원,202511,전체,승차,40137,264,386,1301,1682,1866,2624,2790,2313,2591,2868,3983,3909,5940,3493,1161,962,938,665,401
3호선,칠곡경대병원,202511,전체,하차,34686,29,1004,2974,6149,3227,2744,1833,2211,2606,2347,1813,1653,1767,1136,1020,1034,559,294,286
3호선,학정,202511,전체,승차,14947,345,305,1187,1055,1038,857,901,951,905,909,1221,1698,1334,610,443,189,230,185,584
3호선,학정,202511,전체,하차,11465,40,1294,627,1430,493,420,421,582,715,665,735,708,846,848,502,330,260,254,295
3호선,팔거,202511,전체,승차,128454,1554,2850,10482,9791,6921,6877,6889,8253,7955,7705,7729,8559,10216,9435,5730,5844,5565,4789,1310
3호선,팔거,202511,전체,하차,131600,48,1713,3236,9326,5828,5643,6285,7304,8743,8070,9901,12574,12985,15559,8155,5551,4422,3464,2793
3호선,동천,202511,전체,승차,67659,1014,2446,7506,8417,5185,4815,4356,4483,3970,3852,3610,4056,4018,3006,1985,1629,1338,1132,841
3호선,동천,202511,전체,하차,60082,21,440,1543,3188,2363,2197,2346,2664,3783,4054,4480,6168,5856,7485,3847,2766,2640,2435,1806
3호선,칠곡운암,202511,전체,승차,109804,1710,4370,10856,11962,8346,8279,7792,8295,8077,6740,6262,6011,6822,5461,3001,2177,1672,1447,524
3호선,칠곡운암,202511,전체,하차,107272,46,1109,2341,4515,4074,4524,5060,6037,6291,7576,8690,11007,11126,12301,6701,5103,4596,3764,2411
3호선,구암,202511,전체,승차,75825,936,1639,3827,4955,3692,4157,4413,5376,5151,4566,6534,8373,7798,5144,2931,2133,1811,1376,1013
3호선,구암,202511,전체,하차,65330,82,529,3343,7747,5000,4011,2737,3964,4247,3305,3818,3801,4841,5278,3211,2429,2463,2665,1859
3호선,태전,202511,전체,승차,60206,997,1938,5016,5913,4315,4030,3871,4065,4499,3615,3456,3736,4298,3813,1974,1411,1326,1085,848
