"주소1","주소2","주소3","주소4","학교명","분류","국어","영어","수학","평균","특목고계"
"전남","신안군","하의면","","하의중학교","공립","84.0","94.0","85.0","87.7","0"
"부산","강서구","녹산동","","녹산중학교","사립","84.0","71.1","78.9","78.0","0"
"서울","은평구","증산동","","연서중학교","공립","84.0","71.6","64.1","73.2","0"
"충남","금산군","복수면","수영리","복수중학교","공립","84.0","63.9","77.2","75.0","1"
"경기","광주시","초월읍","쌍동리","초월중학교","공립","83.9","73.7","76.9","78.2","0"
"경기","수원시","영통구","이의동","연무중학교","공립","83.9","82.4","81.5","82.6","16"
"충북","충주시","중앙탑면","용전리","중앙탑중학교","공립","83.9","76.5","84.8","81.7","0"
"부산","북구","화명동","","화신중학교","공립","83.9","81.5","79.5","81.6","3"
"부산","서구","","","부산대신중학교","공립","83.9","71.5","72.4","75.9","1"
"서울","송파구","오륜동","","오륜중학교","공립","83.9","81.2","74.4","79.8","9"
"강원","춘천시","남산면","","창촌중학교","공립","83.9","76.2","71.6","77.2",""
"서울","노원구","하계동","","불암중학교","공립","83.8","72.6","83.0","79.8","28"
"전북","부안군","변산면","운산리","변산서중학교","사립","83.8","63.0","63.8","70.2",""
"경기","여주군","강천면","간매리","강천중학교","공립","83.8","75.6","73.7","77.7","0"
"부산","부산진구","당감동","","부산국제중학교","공립","83.8","86.5","86.8","85.7","12"
"경기","부천시","오정구","여월동","까치울중학교","공립","83.8","78.1","75.0","79.0","2"
"서울","강북구","송중동","","창문여자중학교","사립","83.8","79.5","73.5","78.9","9"
"경기","수원시","영통구","혜령로","수원다산중학교","공립","83.8","82.0","79.0","81.6","18"
"경기","화성시","반월동","","화성반월중학교","공립","83.8","86.7","79.9","83.5","2"
"경기","평택시","포승읍","방림리","포승중학교","공립","83.8","76.3","81.7","80.6","0"
"부산","부산진구","개금동","","광무여자중학교","공립","83.8","78.4","78.7","80.3","2"
"경기","수원시","영통구","매탄동","매현중학교","공립","83.8","77.4","77.6","79.6","4"
"경기","고양시","덕양구","행신동","행신중학교","공립","83.8","78.9","79.1","80.6","5"
"서울","동작구","신대방동","","문창중학교","공립","83.8","65.1","66.6","71.8","3"
"경기","고양시","일산서구","","신일중학교","공립","83.7","77.1","76.9","79.2","21"
"전남","구례군","토지면","","구례동중학교","공립","83.7","76.0","74.3","78.0","0"
"부산","해운대구","재송동","","센텀중학교","공립","83.7","85.2","82.8","83.9","35"
"경기","화성시","동탄감배산로","","이산중학교","공립","83.7","84.6","80.2","82.8","2"
"경남","사천시","서포면","구평리","서포중학교","공립","83.7","64.9","87.3","78.6","0"
"경기","김포시","고촌읍","수기로","김포신곡중학교","공립","83.7","78.7","78.3","80.2","12"
"경기","하남시","망월동","","윤슬중학교","공립","83.7","80.6","83.1","82.5","0"
"경기","하남시","","","미사중학교","공립","83.7","80.4","84.1","82.7","5"
"경기","수원시","권선구","권선동","화홍중학교","공립","83.7","78.4","74.4","78.8","4"
"경남","하동군","화개면","삼신리","화개중학교","공립","83.7","70.6","69.5","74.6","0"
"경북","봉화군","석포면","석포리","석포중학교","공립","83.6","68.3","70.3","74.1","0"
"경북","안동시","길안면","천지리","길안중학교","공립","83.6","72.2","74.5","76.8","0"
